Fundos,Setor
AAGR11,Fiagro
AAZQ11,Multiestratégia
AGRX11,Fiagro
ASRF11,Multiestratégia
BBGO11,Multiestratégia
BDIF11,Multiestratégia
BDIV11,Multiestratégia
BETW11,Multiestratégia
BIDB11,Multiestratégia
BIME11,Multiestratégia
BINR11,Multiestratégia
BIPD11,Multiestratégia
BLCA11,Multiestratégia
BODB11,Multiestratégia
BRIX11,Multiestratégia
BTAG11,Fiagro
CCME11,Multiestratégia
CCVA11,Multiestratégia
CDII11,Papel (CRI)
CFII11,Multiestratégia
CPSH11,Shopping
CPTI11,Multiestratégia
CPTR11,Multiestratégia
CRAA11,Fiagro
CSMC11,Multiestratégia
CVPR11,Multiestratégia
CXCI11,Papel (CRI)
CYCR11,Multiestratégia
DCRA11,Papel (CRI)
DPRO11,Multiestratégia
EGAF11,Fiagro
ENDD11,Multiestratégia
EQIR11,Multiestratégia
ESUD11,Multiestratégia
ESUT11,Multiestratégia
ESUU11,Multiestratégia
EXES11,Multiestratégia
FAOE11,Multiestratégia
FGAA11,Fiagro
FRHY11,Papel (CRI)
FTCA11,Fiagro
FZDA11,Fiagro
FZDB11,Fiagro
GAME11,Multiestratégia
GCOI11,Multiestratégia
GCRA11,Fiagro
GRWA11,Multiestratégia
GURB11,Tijolo
GZIT11,Tijolo
HBCR11,Hospital
HCRA11,Fiagro
HGAG11,Fiagro
HILG11,Logística
IAAG11,Fiagro
IAGR11,Fiagro
IBBP11,Tijolo
IDFI11,Multiestratégia
IFRA11,Infraestrutura
IMOV11,Tijolo
INFB11,Infraestrutura
IRIM11,Multiestratégia
JGPX11,Multiestratégia
JURO11,Papel (CRI)
KCRE11,Papel (CRI)
KDIF11,Multiestratégia
KFEN11,Multiestratégia
KNCA11,Fiagro
KNHF11,Multiestratégia
KNOX11,Papel (CRI)
KNPR11,Papel (CRI)
KNUQ11,Multiestratégia
KOPA11,Multiestratégia
LAVF11,Multiestratégia
LPLP11,Tijolo
LRDI11,Papel (CRI)
LSAG11,Fiagro
MANA11,Multiestratégia
MATV11,Multiestratégia
MGRI11,Multiestratégia
MMPD11,Multiestratégia
NUIF11,Multiestratégia
NVRP11,Multiestratégia
OGHY11,Papel (CRI)
OIAG11,Fiagro
PCAS11,Multiestratégia
PFIN11,Multiestratégia
PICE11,Multiestratégia
PLAG11,Fiagro
PLCA11,Multiestratégia
PNRC11,Papel (CRI)
PPEI11,Multiestratégia
PRIF11,Multiestratégia
QNTS11,Multiestratégia
RBIF11,Multiestratégia
RBRX11,Multiestratégia
RDCI11,Papel (CRI)
RIFF11,Multiestratégia
RINV11,Multiestratégia
RURA11,Tijolo
RZAG11,Fiagro
RZEO11,Multiestratégia
SEED11,Fiagro
SHSO11,Shopping
SIGR11,Multiestratégia
SNID11,Multiestratégia
SNME11,Multiestratégia
SPDE11,Multiestratégia
SPMO11,Multiestratégia
SPXS11,Multiestratégia
SRVD11,Multiestratégia
SURE11,Multiestratégia
TELM11,Multiestratégia
TJKB11,Multiestratégia
VANG11,Multiestratégia
VCRA11,Fiagro
VGIA11,Fiagro
VLIQ11,Multiestratégia
VVRI11,Multiestratégia
WHGR11,Multiestratégia
WSEC11,Multiestratégia
XPCA11,Fiagro
XPID11,Infraestrutura
XPIE11,Multiestratégia
YUFI11B,Multiestratégia
ZAVC11,Multiestratégia
ZAVI11,Multiestratégia
RZAG11,Fiagro
KNCA11,Fiagro
